id,name,applicability
account_tag_SAFT_0840,"SAFT 0840",accounts
account_tag_SAFT_0850,"SAFT 0850",accounts
account_tag_SAFT_0860,"SAFT 0860",accounts
account_tag_SAFT_0862,"SAFT 0862",accounts
account_tag_SAFT_0867,"SAFT 0867",accounts
account_tag_SAFT_0870,"SAFT 0870",accounts
account_tag_SAFT_0880,"SAFT 0880",accounts
account_tag_SAFT_0900,"SAFT 0900",accounts
account_tag_SAFT_0910,"SAFT 0910",accounts
account_tag_SAFT_0920,"SAFT 0920",accounts
account_tag_SAFT_0940,"SAFT 0940",accounts
account_tag_SAFT_0950,"SAFT 0950",accounts
account_tag_SAFT_0959,"SAFT 0959",accounts
account_tag_SAFT_0980,"SAFT 0980",accounts
account_tag_SAFT_0990,"SAFT 0990",accounts
account_tag_SAFT_0995,"SAFT 0995",accounts
account_tag_SAFT_0996,"SAFT 0996",accounts
account_tag_SAFT_0997,"SAFT 0997",accounts
account_tag_SAFT_1000,"SAFT 1000",accounts
account_tag_SAFT_1001,"SAFT 1001",accounts
account_tag_SAFT_1100,"SAFT 1100",accounts
account_tag_SAFT_1101,"SAFT 1101",accounts
account_tag_SAFT_1200,"SAFT 1200",accounts
account_tag_SAFT_1201,"SAFT 1201",accounts
account_tag_SAFT_1300,"SAFT 1300",accounts
account_tag_SAFT_1301,"SAFT 1301",accounts
account_tag_SAFT_1350,"SAFT 1350",accounts
account_tag_SAFT_1351,"SAFT 1351",accounts
account_tag_SAFT_1360,"SAFT 1360",accounts
account_tag_SAFT_1361,"SAFT 1361",accounts
account_tag_SAFT_1400,"SAFT 1400",accounts
account_tag_SAFT_1401,"SAFT 1401",accounts
account_tag_SAFT_1500,"SAFT 1500",accounts
account_tag_SAFT_1501,"SAFT 1501",accounts
account_tag_SAFT_1600,"SAFT 1600",accounts
account_tag_SAFT_1601,"SAFT 1601",accounts
account_tag_SAFT_1700,"SAFT 1700",accounts
account_tag_SAFT_1800,"SAFT 1800",accounts
account_tag_SAFT_1801,"SAFT 1801",accounts
account_tag_SAFT_1803,"SAFT 1803",accounts
account_tag_SAFT_1910,"SAFT 1910",accounts
account_tag_SAFT_1920,"SAFT 1920",accounts
account_tag_SAFT_1930,"SAFT 1930",accounts
account_tag_SAFT_1940,"SAFT 1940",accounts
account_tag_SAFT_1950,"SAFT 1950",accounts
account_tag_SAFT_1960,"SAFT 1960",accounts
account_tag_SAFT_1970,"SAFT 1970",accounts
account_tag_SAFT_2000,"SAFT 2000",accounts
account_tag_SAFT_2080,"SAFT 2080",accounts
account_tag_SAFT_2090,"SAFT 2090",accounts
account_tag_SAFT_2100,"SAFT 2100",accounts
account_tag_SAFT_2130,"SAFT 2130",accounts
account_tag_SAFT_2140,"SAFT 2140",accounts
account_tag_SAFT_2150,"SAFT 2150",accounts
account_tag_SAFT_2180,"SAFT 2180",accounts
account_tag_SAFT_2190,"SAFT 2190",accounts
account_tag_SAFT_2200,"SAFT 2200",accounts
account_tag_SAFT_2201,"SAFT 2201",accounts
account_tag_SAFT_2230,"SAFT 2230",accounts
account_tag_SAFT_2240,"SAFT 2240",accounts
account_tag_SAFT_2250,"SAFT 2250",accounts
account_tag_SAFT_2251,"SAFT 2251",accounts
account_tag_SAFT_2280,"SAFT 2280",accounts
account_tag_SAFT_2290,"SAFT 2290",accounts
account_tag_SAFT_2291,"SAFT 2291",accounts
account_tag_SAFT_2292,"SAFT 2292",accounts
account_tag_SAFT_2293,"SAFT 2293",accounts
account_tag_SAFT_2294,"SAFT 2294",accounts
account_tag_SAFT_2295,"SAFT 2295",accounts
account_tag_SAFT_2300,"SAFT 2300",accounts
account_tag_SAFT_2310,"SAFT 2310",accounts
account_tag_SAFT_2320,"SAFT 2320",accounts
